city,timestamp,temperature,season
New York,2010-01-01,7.426970989581811,winter
New York,2010-01-02,-1.3453590532719648,winter
New York,2010-01-03,-5.771772868091406,winter
New York,2010-01-04,3.918904906694534,winter
New York,2010-01-05,-0.25618942990417737,winter
New York,2010-01-06,5.873035567924494,winter
New York,2010-01-07,6.450786240495798,winter
New York,2010-01-08,-5.862963072297813,winter
New York,2010-01-09,-4.261547858534634,winter
New York,2010-01-10,-0.7076011085467624,winter
New York,2010-01-11,-10.932309351978436,winter
New York,2010-01-12,3.5258171292037104,winter
New York,2010-01-13,-3.042971379873446,winter
New York,2010-01-14,-7.245051373343159,winter
New York,2010-01-15,4.214701702162496,winter
New York,2010-01-16,-2.0615514963000376,winter
New York,2010-01-17,-8.56540169724011,winter
New York,2010-01-18,-3.852446272620724,winter
New York,2010-01-19,6.169632149148755,winter
New York,2010-01-20,-1.8909397318817847,winter
New York,2010-01-21,-0.8829914267322891,winter
New York,2010-01-22,5.713937292187063,winter
New York,2010-01-23,-6.3878293605535275,winter
New York,2010-01-24,-3.264839097714077,winter
New York,2010-01-25,-2.8231427618451583,winter
New York,2010-01-26,-0.8018125880965683,winter
New York,2010-01-27,10.116921691631637,winter
New York,2010-01-28,2.7577923410268843,winter
New York,2010-01-29,-1.1972137327313588,winter
New York,2010-01-30,-7.505146654360932,winter
New York,2010-01-31,0.5256557946387401,winter
New York,2010-02-01,0.32827194360056683,winter
New York,2010-02-02,1.4475487964945337,winter
New York,2010-02-03,-4.494396370609618,winter
New York,2010-02-04,2.512257009194554,winter
New York,2010-02-05,-4.301451956253723,winter
New York,2010-02-06,-4.348398697948405,winter
New York,2010-02-07,0.5651531639889841,winter
New York,2010-02-08,-5.57479191272674,winter
New York,2010-02-09,3.52774048855425,winter
New York,2010-02-10,-8.79357394147696,winter
New York,2010-02-11,1.852987218222488,winter
New York,2010-02-12,7.641870629548837,winter
New York,2010-02-13,-7.706343558603795,winter
New York,2010-02-14,0.25948903831987785,winter
New York,2010-02-15,5.740180218026202,winter
New York,2010-02-16,7.8042447745505115,winter
New York,2010-02-17,0.8432446193600054,winter
New York,2010-02-18,-5.9450352084631515,winter
New York,2010-02-19,-4.550316589649571,winter
New York,2010-02-20,0.6880444331618196,winter
New York,2010-02-21,3.32180654517582,winter
New York,2010-02-22,-0.27319389841104674,winter
New York,2010-02-23,-2.2346620631560112,winter
New York,2010-02-24,-2.4925163811977513,winter
New York,2010-02-25,2.19256854737881,winter
New York,2010-02-26,-1.5075657540033185,winter
New York,2010-02-27,3.114350977958758,winter
New York,2010-02-28,10.187989059548855,winter
New York,2010-03-01,10.491466683256618,spring
New York,2010-03-02,7.502584613031313,spring
New York,2010-03-03,8.144346968960773,spring
New York,2010-03-04,0.8766690825159067,spring
New York,2010-03-05,15.967830810627504,spring
New York,2010-03-06,7.141950633059668,spring
New York,2010-03-07,10.867434863320282,spring
New York,2010-03-08,2.1498956254498927,spring
New York,2010-03-09,13.854965374124603,spring
New York,2010-03-10,6.448502208168322,spring
New York,2010-03-11,13.729505054547406,spring
New York,2010-03-12,5.5936369193011934,spring
New York,2010-03-13,12.164191875493447,spring
New York,2010-03-14,13.297200982897827,spring
New York,2010-03-15,21.588379076908083,spring
New York,2010-03-16,17.68548154504874,spring
New York,2010-03-17,14.648447170149677,spring
New York,2010-03-18,19.609947778062036,spring
New York,2010-03-19,10.702697852910553,spring
New York,2010-03-20,16.855938715873418,spring
New York,2010-03-21,5.673455824672498,spring
New York,2010-03-22,7.78265660460066,spring
New York,2010-03-23,2.2320615920596465,spring
New York,2010-03-24,4.031658855256143,spring
New York,2010-03-25,6.221605056708904,spring
New York,2010-03-26,8.308495760448137,spring
New York,2010-03-27,13.070781393605834,spring
New York,2010-03-28,9.269232796287373,spring
New York,2010-03-29,4.927940532984162,spring
New York,2010-03-30,21.963909483379783,spring
New York,2010-03-31,14.223470110864826,spring
New York,2010-04-01,6.9817746455149985,spring
New York,2010-04-02,6.24834490782283,spring
New York,2010-04-03,12.320843959861284,spring
New York,2010-04-04,6.529722179041674,spring
New York,2010-04-05,3.202088330110218,spring
New York,2010-04-06,11.039355935360968,spring
New York,2010-04-07,10.609271894473,spring
New York,2010-04-08,1.8125880708699995,spring
New York,2010-04-09,9.001653252308248,spring
New York,2010-04-10,8.255850595565672,spring
New York,2010-04-11,14.014164612161045,spring
New York,2010-04-12,14.733217325627265,spring
New York,2010-04-13,7.496848636275449,spring
New York,2010-04-14,15.982175933320402,spring
New York,2010-04-15,9.474921334011855,spring
New York,2010-04-16,9.022727784422838,spring
New York,2010-04-17,19.180785902601173,spring
New York,2010-04-18,11.717377111387691,spring
New York,2010-04-19,1.6139393322039748,spring
New York,2010-04-20,16.50953791575538,spring
New York,2010-04-21,11.619376086207435,spring
New York,2010-04-22,20.0942592179379,spring
New York,2010-04-23,11.08258385566472,spring
New York,2010-04-24,12.655924430953958,spring
New York,2010-04-25,8.951469307579103,spring
New York,2010-04-26,9.256949205944249,spring
New York,2010-04-27,10.904208745769495,spring
New York,2010-04-28,11.610254683679493,spring
New York,2010-04-29,15.367035817642657,spring
New York,2010-04-30,2.684216282487811,spring
New York,2010-05-01,10.614467143156798,spring
New York,2010-05-02,7.683425337846423,spring
New York,2010-05-03,5.526262338607019,spring
New York,2010-05-04,6.4344319493882365,spring
New York,2010-05-05,20.636564719127733,spring
New York,2010-05-06,19.133096521603644,spring
New York,2010-05-07,14.086596192549464,spring
New York,2010-05-08,-3.4204218173340237,spring
New York,2010-05-09,8.781209796213869,spring
New York,2010-05-10,9.23965164559957,spring
New York,2010-05-11,15.467781989503155,spring
New York,2010-05-12,8.580270270957877,spring
